,bezeichnung,image
0,T*SOL,tsol_logo.png
1,CloneMAP,clonemap_logo.png
2,Synavision,synavision_logo.png
3,CAD,
4,AutoCAD,AutoCad-logo.webp
5,Earth Energy Designer,eed_logo.jpg
6,C#,c_logo.png
7,Eclipse mosquitto,mosquitto_logo.png
8,DesignBuilder,designbuilder_logo.jpg
9,Energyplus,EnergyPlus_logo.png
10,KNIME,knime_logo.png
11,Feflow,feflow_logo_UbYK6gI.png
12,Dymola,Dymola_logo.png
13,Comsol,comsol_logo.png
14,Oemof,oemof_logo.jpg
15,BIM2SIM,
16,Modelica,Modelica_Logo.png
17,MATLAB,Matlab_Logo.png
18,Influx DB,Influxdb_logo.png
19,Dynamic ISO Building Simulator,DIBS_Logo.png
20,Excel,Excel_logo.png
21,Visio,Visio_logo.png
22,Ansys Fluids  Computational Fluid Dynamics (CFD) Simulation,ansys-fluids_logo.png
23,OpenModelica,openmodelica_logo.png
24,NANDRAD,nandrad_logo.png
25,MoniSoft,monisoft_logo.gif
26,PostgreSQL,Postgresql_logo.png
27,Python,python_logo.png
28,Grasshopper,grashopper_logo.jpeg
29,R-Stab,RSTAB_logo.webp
30,WPSOURCE,
31,Mondas,mondas_logo.png
32,ArcGIS,ArcGIS_logo.png
33,Influx Telegraf,Telegraf_Logo.png
34,QGIS,QGIS_logo.png
35,EnerCalC,
36,R-Skript,R_logo.png
37,Rhino,rhino_logo.png
38,sisKMR,siskmr_logo.png
39,SIMULINK,Matlab_Logo_Dq9E7WR.png
40,Tensorflow,TensorFlow_logo.png
41,WUFI Plus,
42,TRNSYS,trysnysy_logo.png
43,Star CCM,starccm_logo.png
44,Grafana,Grafana_logo.png
45,OpenGeoSys,opengeosys_logo.png
46,SimulationX,simulationx-by-esi-vector-logo.png
47,IDA-ICE,Ida-ICE-logo.jpg
48,LS-DYNA,ls_dyna_logo.jpeg
49,FMI,FMI_logo.png
50,R-FEM,RFEM_logo.png
