Tool,classification,focus
ArcGIS,Werkzeug,Technisch
AutoCAD,Werkzeug,Technisch
Mondas,Werkzeug,Technisch
C#,Werkzeug,Technisch
CAD,Werkzeug,Technisch
CloneMAP,Werkzeug,Technisch
Comsol,Werkzeug,Technisch
FMI,Werkzeug,Technisch
Oemof,Werkzeug,Technisch
DesignBuilder,Werkzeug,Technisch
Dymola,Werkzeug,Technisch
Eclipse mosquitto,Werkzeug,Technisch
Earth Energy Designer,Werkzeug,Technisch
EnerCalC,Werkzeug,Technisch
Energyplus,Werkzeug,Technisch
Synavision,Werkzeug,Technisch
Feflow,Werkzeug,Technisch
Grafana,Werkzeug,Technisch
Grasshopper,Werkzeug,Technisch
IDA-ICE,Werkzeug,Technisch
Influx DB,Werkzeug,Technisch
KNIME,Werkzeug,Technisch
LS-DYNA,Werkzeug,Technisch
MATLAB,Werkzeug,Technisch
BIM2SIM,Werkzeug,Technisch
Excel,Werkzeug,Technisch
Visio,Werkzeug,Technisch
Dynamic ISO Building Simulator,Werkzeug,Technisch
Ansys Fluids  Computational Fluid Dynamics (CFD) Simulation,Werkzeug,Technisch
Modelica,Werkzeug,Technisch
MoniSoft,Werkzeug,Technisch
NANDRAD,Werkzeug,Technisch
OpenGeoSys,Werkzeug,Technisch
OpenModelica,Werkzeug,Technisch
PostgreSQL,Werkzeug,Technisch
Python,Werkzeug,Technisch
QGIS,Werkzeug,Technisch
R-Skript,Werkzeug,Technisch
R-FEM,Werkzeug,Technisch
Rhino,Werkzeug,Technisch
R-Stab,Werkzeug,Technisch
Star CCM,Werkzeug,Technisch
SimulationX,Werkzeug,Technisch
SIMULINK,Werkzeug,Technisch
sisKMR,Werkzeug,Technisch
T*SOL,Werkzeug,Technisch
Influx Telegraf,Werkzeug,Technisch
Tensorflow,Werkzeug,Technisch
TRNSYS,Werkzeug,Technisch
WPSOURCE,Werkzeug,Technisch
WUFI Plus,Werkzeug,Technisch
